TLD,Domains,Abusive Domains,Abuse Score,Phishing Domains,Malware Domains,Spam Domains,Botnet Domains,Newly Abusive Domains,Last Month Abusive Domains,Last Month Abuse Score

ABCD,6789123,21813,0.321293339,234,345,21111,123,27156,20722,0.306449292

EFGHIJ,432109,1336,0.309181248,34,45,1234,23,1728,1269,0.294855024

EFGHIJK,1234567,547,0.044307032,45,34,456,12,40,519,0.042207853

LMNO,234567,349,0.148784782,4,0,345,0,1,331,0.141677617

PQRSTU,123456,65758,53.26432089,0,12345,43210,10203,0,62470,50.80390036
