M6.DNS.01.1, , 0.333333,
M6.DNS.01.2, , 0.000000,
M6.DNS.01.3, 1, 8858744,
M6.DNS.01.3, 3, 2,
M6.DNS.02.1, , 0.197674,
M6.DNS.02.2, , 0.000000,
M6.DNS.02.3, 1, 3402617,
M6.DNS.02.3, 2, 2693021,
M6.DNS.02.3, 5, 394130,
M6.DNS.02.3, 6, 451856,
M6.DNS.02.3, 12, 42398,
M6.DNS.02.3, 15, 18620,
M6.DNS.02.3, 16, 7183,
M6.DNS.02.3, 28, 1415598,
M6.DNS.02.3, 33, 693,
M6.DNS.02.3, 41, 356960,
M6.DNS.02.3, 43, 3244,
M6.DNS.02.3, 46, 253894,
M6.DNS.02.3, 47, 4371,
M6.DNS.02.3, 48, 1008,
M6.DNS.02.3, 50, 169989,
M6.DNS.02.3, 99, 120,
M6.DNS.02.3, 257, 4,
M6.DNS.03.1, , 0.600000,
M6.DNS.03.2, , 0.000010,
M6.DNS.03.3, 0, 2472689,
M6.DNS.03.3, 4, 12,
M6.DNS.03.3, 5, 118,
M6.DNS.03.3, 11, 25,
M6.DNS.04.1, , 0.238095,
M6.DNS.04.2, , 0.000000,
M6.DNS.04.3, 0, 2189718,
M6.DNS.04.3, 1, 25,
M6.DNS.04.3, 2, 8808,
M6.DNS.04.3, 3, 269628,
M6.DNS.04.3, 5, 4665,
M6.DNS.05.1, , 0.000000,
M6.DNS.05.2, , 0.000000,
M6.DNS.06.1, , 0.000000,
M6.DNS.06.2, , 0.000000,
M6.DNS.07.1, , 0.500000,
M6.DNS.07.2, , 0.000000,
M6.DNS.07.3, 0, 599295,
M6.DNS.07.3, 192, 8796736,
M6.DNS.08.1, , 0.400000,
M6.DNS.08.2, , 0.006041,
M6.DNS.08.3, 0, 13,
M6.DNS.08.3, 3, 10,
M6.DNS.08.3, 5, 414,
M6.DNS.08.3, 6, 414,
M6.DNS.08.3, 7, 414,
M6.DNS.08.3, 8, 870,
M6.DNS.08.3, 10, 346,
M6.DNS.08.3, 65001, 2,
M6.DNS.09.1, , 0.428571,
M6.DNS.09.2, , 0.0,
M6.DNS.09.3, 4, 1865211,
M6.DNS.09.3, 5, 918,
M6.DNS.09.3, 6, 526495,
M6.DNS.10.1, , 1.000000,
M6.DNS.10.2, , 0.000000,
M6.DNS.10.3, 0, 703955,
M6.DNS.11.1, , 1.000000,
M6.DNS.11.2, , 0.000000,
M6.DNS.11.3, 0, 785328,
M6.DNS.12.1, , 0.000000,
M6.DNS.12.2, , 0.000000,
M6.DNSSEC.1.1, , 0.000000,
M6.DNSSEC.1.2, , 0.000000,
M6.DNSSEC.2.1, , 0.000000,
M6.DNSSEC.2.2, , 0.000000,
M6.DNSSEC.3.1, , 0.705882,
M6.DNSSEC.3.2, , 0.000000,
M6.DNSSEC.3.3, 1, 71,
M6.DNSSEC.3.3, 3, 78,
M6.DNSSEC.3.3, 5, 3404,
M6.DNSSEC.3.3, 6, 74,
M6.DNSSEC.3.3, 7, 43865,
M6.DNSSEC.3.3, 8, 203231,
M6.DNSSEC.3.3, 10, 456,
M6.DNSSEC.3.3, 12, 72,
M6.DNSSEC.3.3, 13, 6703,
M6.DNSSEC.3.3, 14, 160,
M6.DNSSEC.3.3, 15, 15,
M6.DNSSEC.3.3, 16, 17,
M6.DANE.1.1, , 0.000000,
M6.DANE.1.2, , 0.000000,
M6.DANE.2.1, , 0.000000,
M6.DANE.2.2, , 0.000000,
M6.DANE.3.1, , 0.000000,
M6.DANE.3.2, , 0.000000,
