Address, TLD, nx_domain, name_type, min_delay, count
223.196.88.27,"ACCOUNTANT",0,tld,-1,1
223.196.88.27,"",0,root,-1,1
222.246.129.94,"COM",0,tld,-1,1
222.246.129.93,"DD9A09E0",1,other,-1,1
222.246.129.93,"COM808080808080808080808080",1,jumbo,-1,1
222.246.129.93,"AIRDREAM",1,other,-1,1
222.222.222.249,"ZHMFERVPACXVJ",1,dga,-1,1
222.222.202.165,"WORKGROUP",1,frequent,-1,1
222.217.39.113,"COM",0,tld,21558,5
222.217.39.113,"ARPA",0,tld,51513,3
222.212.24.23,"COM",0,tld,-1,1
222.186.59.158,"NET",0,tld,-1,1
222.173.115.38,"\240\234\015\001\008A\015\001",1,binary,-1,1
222.162.131.231,"DHCP HOST",1,bad_syntax,1056,3
222.82.221.214,"COM",0,tld,462,2
222.80.192.212,"COM",0,tld,-1,1
222.76.219.176,"LOCALDOMAIN",1,frequent,-1,1
222.76.215.76,"LOCALDOMAIN",1,frequent,-1,1
222.66.40.2,"LOCALDOMAIN",1,frequent,-1,1
221.232.151.115,"",0,root,-1,1
221.224.17.26,"NET",0,tld,10435,2
221.224.17.26,"COM",0,tld,43,3
221.202.165.218,"LAN",1,frequent,-1,1
221.192.21.10,"SSG-550M",1,other,-1,1
221.192.21.10,"JAVLABPSZEWUGL",1,dga,-1,1
221.192.21.10,"HG232F",1,other,-1,1
221.192.21.10,"GCUHLUMPGVAP",1,dga,-1,1
221.192.21.10,"CVMHBMLDGMHH",1,dga,-1,1
221.11.60.14,"COM",0,tld,-1,1
221.11.49.82,"DHCP HOST",1,bad_syntax,-1,1
221.7.212.29,"\232\241\147",1,binary,93,4
221.7.140.236,"COM",0,tld,-1,1
221.4.133.26,"CN",0,tld,-1,1
220.250.44.38,"DHCP HOST",1,bad_syntax,-1,1
220.249.251.11,"DHCP HOST",1,bad_syntax,-1,1
220.249.99.220,"QQYPGHACCONP",1,dga,-1,1
220.249.99.220,"IKVVGKQ",1,dga,-1,1
220.249.99.220,"FTLNCJS",1,dga,-1,1
220.233.177.215,"",0,root,-1,1
220.191.225.142,"\2006W",1,binary,10,2
220.189.123.37,"NET",0,tld,-1,1
220.189.123.37,"COM",0,tld,2901,7
220.189.123.37,"BBS",1,other,-1,1
220.189.123.36,"CN",0,tld,-1,1
220.189.123.21,"DHCP HOST",1,bad_syntax,2289,3
220.189.123.21,"COM",0,tld,5,14
220.189.123.21,"CN",0,tld,7033,2
220.189.120.196,"NET",0,tld,-1,1
220.189.120.196,"COM",0,tld,56,2
220.189.120.196,"CN",0,tld,-1,1
220.188.114.23,"DHCP HOST",1,bad_syntax,-1,1
220.188.114.23,"COM",0,tld,224,5
220.188.114.23,"CN",0,tld,-1,1
220.188.114.23,"0\039\174\001",1,binary,-1,1
220.188.114.23,"",0,root,-1,1
220.188.114.18,"WORKGROUP",1,frequent,-1,1
220.188.114.18,"NET",0,tld,-1,1
220.188.114.18,"DHCP HOST",1,bad_syntax,4151,6
220.188.114.18,"COM",0,tld,9581,7
220.188.114.18,"CN",0,tld,124406,2
220.188.114.18,"0\039\174\001",1,binary,-1,1
220.188.114.18,"",0,root,-1,1
220.188.114.3,"NET",0,tld,105622,2
220.188.114.3,"MENG",1,other,-1,1
220.188.114.3,"LOCALDOMAIN",1,frequent,-1,1
220.188.114.3,"DOMAIN",1,frequent,-1,1
220.188.114.3,"DHCP HOST",1,bad_syntax,129000,2
220.188.114.3,"COM",0,tld,2994,3
220.188.114.3,"",0,root,211817,2
220.188.114.2,"TTMYXEHUCGLVR",1,dga,-1,1
220.188.114.2,"NET",0,tld,-1,1
