Name, nx_domain, name_type, count, IP
IEONLINE.MICROSOFT.COM,0,tld,1,222.212.24.23
QQYPGHACCONP,1,dga,1,220.249.99.220
WWW.ZIPLOC.CA.TRAFFICMANAGER.NET,0,tld,1,108.161.244.53
DUHDPLDJSURMHZ,1,dga,1,49.45.1.20
FBOUTRVZFIRIIFU,1,dga,1,190.157.8.42
NGX-OUT-3.OP.58.COM,0,tld,1,220.188.114.18
NSRRH.MEDCTR.UCLA.EDU,0,tld,1,199.59.150.203
NS-547.AWSDNS-04.NET,0,tld,1,216.218.40.74
PXL.CONNEXITY.NET,0,tld,1,205.161.14.145
GAZWOFFL,1,dga,1,163.121.194.6
UUFVRZB,1,dga,1,187.237.14.213
LFIVNBRFTRAX,1,dga,1,112.198.126.116
GDISIZWBGS,1,dga,1,110.163.39.145
B._DNS-SD._UDP.\160\191\246\001\128\153\247\001,1,binary,1,210.184.85.84
NS-1935.AWSDNS-49.CO.UK,0,tld,1,184.100.212.196
NXNHIKKGIDMMZAO,1,dga,1,49.45.1.50
ERCMUWMVU,1,dga,1,49.45.1.163
YHGIATUUA,1,dga,1,110.163.39.145
HBFSNBB,1,dga,1,75.114.82.9
345-01,1,other,1,210.149.129.66
QQPUBLIC.QPIC.CN,0,tld,2,121.26.225.2
WWW.848848.CC,0,tld,1,202.96.113.99
B.IN-ADDR-SERVERS.ARPA,0,tld,1,114.125.195.199
NS1.PROTHOST.COM,0,tld,1,193.254.189.141
JNFGGSWFL,1,dga,1,118.85.220.85
100.371.077.254,1,numeric,1,62.201.210.62
SRUZTTB,1,dga,1,208.54.44.73
MININT-JCMSIUF.CDS.INF.NEO,1,other,1,157.58.196.192
66.97.269.176,1,numeric,1,138.99.60.109
NS3.VECON.NET.BR,0,tld,1,185.25.32.40
NS7.NIC.RU,0,tld,1,217.12.97.15
VNAWATIR,1,dga,1,74.125.76.8
APPLOG.UC.CN,0,tld,1,121.26.225.2
9.156.254.51.BL.SPAMCOP.NET,0,tld,1,95.143.172.5
BYZZOHQKDZVVVV.HOME,1,frequent,1,205.171.175.194
EC2-52-91-239-154.COMPUTE-1.AMAZONAWS.COM,0,tld,1,220.189.123.21
IM4R.MJT.LU,0,tld,1,206.125.40.131
ADMOBI360.COM,0,tld,1,218.248.255.211
G.CEIPMSN.COM,0,tld,1,125.174.104.107
VDFLYGH,1,dga,1,49.45.1.115
32.96.270.194,1,numeric,1,8.0.16.132
NS2.1DOMAIN.NAME,0,tld,2,94.230.134.50
IVQDMRLSCIBS.DHCP HOST,1,bad_syntax,1,116.9.94.71
SERVICECUT.MEIZU.COM,0,tld,1,121.26.225.2
SEC3.APNIC.NET,0,tld,2,216.117.191.20
QUXYLRGXEDM,1,dga,1,187.141.30.2
RQWXTNWBQJVLE,1,dga,1,49.45.1.52
177.204.51.58.BLIP.RBL.35.COM.LOCALDOMAIN,1,frequent,1,218.85.138.167
P27-SHAREDSTREAMS.FE.APPLE-DNS.NET,0,tld,1,218.75.3.178
WWW.LEATEK.NET.RGA.IP,1,other,1,200.33.146.153
TWPEGOULXRRHDKX.NEWYORK.HOTEL,1,other,1,67.215.80.19
FKYUFUETS,1,dga,1,187.237.14.234
154.211.123.195.B.BARRACUDACENTRAL.ORG.OPS.INTERNAL,1,frequent,1,208.69.34.15
TLEIIXMUNGVZA,1,dga,1,112.110.240.199
XAQXGLAROEZQZS.HOME,1,frequent,1,203.162.27.198
LB._DNS-SD._UDP.@F\212,1,binary,4,120.29.240.34
IJOZBPNNBV,1,dga,1,110.163.39.141
254.90.254.60.IN-ADDR.ARPA,0,tld,1,93.115.110.64
XJKMLOLUMMCOFN,1,dga,1,66.1.76.141
QMQNCANENM,1,dga,1,49.97.86.161
