,CC,AS,resolver_AS,nb_uids
0,AT,AS8447,AS12793,4060
1,AT,AS8447,AS20940,49
2,AT,AS8447,AS0,645
3,AT,AS8447,AS16509,20
4,AT,AS8447,AS40934,107
5,AT,AS8447,AS25255,5
6,AT,AS8447,AS8339,2
7,AT,AS8447,AS35369,3
8,AT,AS8447,AS5607,1
9,AT,AS8447,AS57469,1
10,AT,AS8447,AS8412,17
11,AT,AS8447,AS31510,1
12,AT,AS8447,AS3301,1
13,AT,AS8447,AS28960,2
14,AT,AS8447,AS3320,1
15,AT,AS8447,AS16276,1
16,AT,AS8447,AS1901,6
17,AT,AS8447,AS9009,9
18,AT,AS8447,AS24953,1
19,AT,AS8447,AS21859,2
20,AT,AS8447,AS20473,7
21,AT,AS8447,AS4837,1
22,AT,AS8447,AS8547,1
23,AT,AS8447,AS1853,1
24,BG,AS29244,AS34577,2
25,BG,AS29244,AS396982,1
26,BG,AS29244,AS8717,2
27,BG,AS29244,AS43205,3
28,BG,AS29244,AS57695,1
29,BG,AS29244,AS20940,249
30,BG,AS29244,AS8866,1
31,BJ,AS328228,AS44066,1852
32,BJ,AS328228,AS327818,5
33,BJ,AS328228,AS36236,8
34,BJ,AS328228,AS137702,1
35,BJ,AS328228,AS395747,1
36,BJ,AS328228,AS40934,2
37,CM,AS36912,AS3257,656
38,CM,AS36912,AS21723,67
39,CM,AS36912,AS40934,363
40,CM,AS36912,AS15964,1
41,CM,AS36912,AS137702,5
42,CM,AS36912,AS14593,1
43,CM,AS36912,AS21859,3
44,CZ,AS13036,AS0,106
45,CZ,AS13036,AS20940,320
46,CZ,AS13036,AS25192,14
47,CZ,AS13036,AS41046,1
48,CZ,AS13036,AS39052,1
49,CZ,AS13036,AS25512,1
50,CZ,AS13036,AS5610,5
51,CZ,AS13036,AS40934,7
52,CZ,AS13036,AS60068,3
53,CZ,AS13036,AS201559,1
54,CZ,AS13036,AS8778,1
55,CZ,AS13036,AS2852,1
56,CZ,AS13036,AS208329,4
57,CZ,AS13036,AS24641,1
58,CZ,AS13036,AS28725,1
59,CZ,AS13036,AS50971,1
60,CZ,AS13036,AS49115,1
61,CZ,AS13036,AS202877,1
62,CZ,AS13036,AS48298,1
63,DK,AS3292,AS209424,979
64,DK,AS3292,AS20940,521
65,DK,AS3292,AS6461,1
66,DK,AS3292,AS39642,5
67,DK,AS3292,AS20473,283
68,DK,AS3292,AS29695,1
69,DK,AS3292,AS44034,16
70,DK,AS3292,AS16509,24
71,DK,AS3292,AS3308,43
72,DK,AS3292,AS396982,2
73,DK,AS3292,AS40934,24
74,DK,AS3292,AS9009,6
75,DK,AS3292,AS1835,1
76,DK,AS3292,AS12400,1
77,DK,AS3292,AS9158,12
78,DK,AS3292,AS49544,12
79,DK,AS3292,AS8075,3
80,DK,AS3292,AS42903,1
81,DK,AS3292,AS52075,1
82,DK,AS3292,AS44869,2
83,DK,AS3292,AS0,1
84,DK,AS3292,AS36692,1
85,DK,AS3292,AS24940,2
86,ES,AS12479,AS49638,4
87,ES,AS12479,AS0,228
88,ES,AS12479,AS36692,30
89,ES,AS12479,AS20940,293
90,ES,AS12479,AS48386,37
91,ES,AS12479,AS9009,4
92,ES,AS12479,AS3352,5
93,ES,AS12479,AS48910,2
94,ES,AS12479,AS20141,1
95,ES,AS12479,AS8075,1
96,ES,AS12479,AS16509,7
97,ES,AS12479,AS16371,1
98,ES,AS12479,AS40934,2
99,ES,AS12479,AS42473,1
100,ES,AS12479,AS45102,2
101,ES,AS12479,AS21859,2
102,ES,AS12479,AS12611,1
103,ES,AS12479,AS12386,2
104,ES,AS12479,AS12430,2
