CC,AS,start,uids,first_isp,googlepdns,cloudflare,opendns,quad9,level3,neustar,he,first_others,nb_https,nb_AAAA,nb_A,nb_A_dup,nb_dup_A,dups_isp,dups_pdns,isp_pdns,isp_others,dups_others,dups_long,zombie_1,zombie_2,z_ISP,z_PDNS,z_others,first_3s,first_10s,sum_delay,max_delay
DZ,AS327931,1738017000,252,250,0,0,0,0,0,0,0,2,192,0,252,250,2630,1547,0,0,0,0,1083,0,0,0,0,0,0,1,178.05205035209656,3.4528400897979736
CD,AS37453,1738017000,94,13,81,0,0,0,0,0,0,0,1,6,94,10,11,0,5,2,0,0,4,0,5,2,3,0,0,7,139.64863562583923,11.787167072296143
MU,AS23889,1738017000,9,9,0,0,0,0,0,0,0,0,0,0,9,9,42,35,0,0,0,0,7,0,0,0,0,0,0,0,7.255754232406616,1.5978169441223145
ES,AS57269,1738017000,437,411,6,15,0,0,0,0,0,5,173,302,437,404,755,750,0,0,0,5,0,0,2,2,0,0,0,1,291.7204968929291,7.798719882965088
MR,AS29544,1738017000,175,130,31,1,1,0,12,0,0,0,48,1,174,63,68,0,13,49,0,0,6,0,0,0,0,0,0,18,236.53430485725403,24.246586084365845
MK,AS6821,1738017000,90,90,0,0,0,0,0,0,0,0,26,0,89,26,27,24,0,0,0,0,3,0,3,3,0,0,0,2,80.45112252235413,15.256807088851929
NO,AS39832,1738017000,430,422,2,1,0,0,0,0,0,5,0,0,430,12,15,4,1,0,0,6,4,0,1,1,0,0,0,11,505.9174301624298,7.811234951019287
CZ,AS203488,1738017000,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.475982904434204,0.9403519630432129
FR,AS5410,1738017000,688,664,3,20,0,0,0,0,0,1,317,542,680,292,340,283,0,0,2,0,55,0,0,0,0,0,0,2,453.26261734962463,5.602216005325317
NG,AS29465,1738017000,1556,845,34,1,67,0,0,0,0,609,598,83,1556,587,1474,424,4,10,122,108,806,0,3,0,0,3,0,60,1722.599446296692,17.12225890159607
